  2,  1,LOGIN ,DMP,    3775,X,112243,1974-07-19 12:37:00
  2,  2,JMC   ,PLN,      19,T,884322,1990-05-15 08:26:00
  2,  3,GEOMED,   ,     128,T,091865,1974-03-16 14:28:00
  3,  1,COPY  ,DMP,    6670,X,176186,1975-09-08 21:19:00
  3,  1,FAIL  ,DMP,   13556,X,111534,1974-07-17 04:04:00
  3,  1,GEOMED,DMP,   19608,X,102441,1974-05-20 04:07:00
  3,  1,JOBDAT,REL,     302,B,078403,1973-04-06 01:07:00
  3,  1,LOADER,DMP,    5012,X,193038,1975-12-22 16:59:00
  3,  1,LOGOUT,DMP,    1341,X,111532,1974-07-17 19:57:00
  3,  1,RPG   ,DMP,    2922,X,072629,1973-11-18 16:27:00
BGB,  1,0     ,   ,     256,T,001234,1972-08-21 21:00:00
REG,ACT,LOGIN ,   ,   17792,T,134059,1974-12-04 17:52:00
REG,ACT,LOGOUT,   ,    6528,T,138197,1974-12-30 21:39:00
SYS,CSP,FAIL42,FAI,   65792,T,112300,1974-07-19 10:30:00
SYS,CSP,FAIL  ,   ,   69248,T,131769,1974-11-26 22:10:00
SYS,CSP,FAIL  ,V10,   69248,T,130717,1974-11-10 13:29:00
SYS,CSP,RPG   ,FAI,   14336,T,184445,1975-10-29 06:44:00
SYS,J17,ADCSER,   ,    6528,T,103850,1974-05-26 16:56:00
SYS,J17,ADSER ,   ,    1536,T,097006,1974-04-15 14:56:00
SYS,J17,ALLDAT,   ,   16768,T,112335,1974-07-24 23:11:00
SYS,J17,CLKSER,   ,   40960,T,115884,1974-07-25 14:39:00
SYS,J17,COMCSS,   ,   30080,T,114948,1974-08-15 18:33:00
SYS,J17,CORE  ,   ,   18560,T,103848,1974-05-28 00:18:00
SYS,J17,DDT   ,   ,   22272,T,109711,1974-07-10 11:44:00
SYS,J17,DPYSER,   ,   44160,T,111573,1974-07-17 16:23:00
SYS,J17,DSKINT,   ,    8704,T,112337,1974-07-24 18:40:00
SYS,J17,DSKSER,   ,   24320,T,115885,1974-07-24 23:13:00
SYS,J17,DTCSER,   ,    8192,T,078462,1974-06-29 06:56:00
SYS,J17,ELFSER,   ,    5760,T,105630,1974-06-29 06:56:00
SYS,J17,FBPACK,   ,    6784,T,086425,1974-06-29 06:56:00
SYS,J17,IMPCLK,   ,    7168,T,106748,1974-06-18 14:43:00
SYS,J17,IMPDDB,   ,    1920,T,104737,1974-06-02 22:56:00
SYS,J17,IMPINT,   ,    3712,T,106750,1974-06-15 20:52:00
SYS,J17,IMPREG,   ,    9856,T,106745,1974-06-17 21:59:00
SYS,J17,IMPUUO,   ,   15616,T,106744,1974-06-18 15:23:00
SYS,J17,JOBDAT,   ,    1280,T,077561,1973-12-14 17:45:00
SYS,J17,LIBCNT,   ,    1152,T,000606,1972-03-24 17:21:00
SYS,J17,LINED ,   ,   12160,T,097004,1974-04-16 03:32:00
SYS,J17,LOWCOR,   ,    2048,T,112334,1974-07-25 12:38:00
SYS,J17,LPTSER,   ,    4992,T,085140,1974-02-01 09:05:00
SYS,J17,LUP   ,   ,     384,T,000614,1972-09-02 02:53:00
SYS,J17,MAIL  ,   ,     896,T,100399,1974-06-29 06:56:00
SYS,J17,MTCSER,   ,    6784,T,103851,1974-05-26 18:58:00
SYS,J17,ONCE  ,   ,    5248,T,111574,1974-07-16 18:45:00
SYS,J17,OUTER ,   ,    9446,T,888888,2021-05-13 17:02:00
SYS,J17,PARSER,   ,    3840,T,103846,1974-05-28 18:57:00
SYS,J17,PATCH ,   ,     384,T,101425,1974-05-13 14:41:00
SYS,J17,PTPSER,   ,    5248,T,083799,1974-01-28 11:56:00
SYS,J17,PTRSER,   ,    2304,T,083793,1974-06-29 06:55:00
SYS,J17,SCHEDU,   ,   19712,T,102509,1974-05-16 22:05:00
SYS,J17,SPWSER,   ,    2944,T,089943,1974-06-29 06:56:00
SYS,J17,SYS   ,   ,     128,T,102512,1974-05-19 13:25:00
SYS,J17,SYS   ,CMD,     128,T,109713,1974-07-06 00:11:00
SYS,J17,SYSINI,   ,    3200,T,100394,1974-05-07 23:24:00
SYS,J17,SYSMAK,   ,     512,T,076402,1973-12-07 18:06:00
SYS,J17,SYSTEM,DMP,   77764,X,112333,1974-07-25 19:04:00
SYS,J17,TTYSER,   ,   35456,T,109715,1974-07-07 17:06:00
SYS,J17,TVSER ,   ,    1536,T,078467,1974-06-29 06:56:00
SYS,J17,UEDDT ,LOG,     585,T,115883,1974-07-25 15:49:00
SYS,J17,UUOCON,   ,   40704,T,111575,1974-07-17 20:02:00
SYS,J17,XGPSER,   ,   20224,T,103845,1974-05-25 14:52:00
SYS,K17,ADCSER,   ,    6528,T,103850,1974-05-26 16:56:00
SYS,K17,ADSER ,   ,    1536,T,097006,1974-04-15 14:56:00
SYS,K17,ALLDAT,   ,   17024,T,114944,1974-08-12 19:14:00
SYS,K17,CLKSER,   ,   41088,T,114949,1974-08-14 19:27:00
SYS,K17,COMCSS,   ,   30080,T,114948,1974-08-15 18:33:00
SYS,K17,CORE  ,   ,   18560,T,103848,1974-05-28 00:18:00
SYS,K17,DDT   ,   ,   22400,T,114942,1974-08-13 21:43:00
SYS,K17,DPYSER,   ,   44160,T,111573,1974-07-17 16:23:00
SYS,K17,DSKINT,   ,    8704,T,114950,1974-08-14 22:00:00
SYS,K17,DSKSER,   ,   24320,T,113266,1974-07-29 23:12:00
SYS,K17,DTCSER,   ,    8192,T,078462,1974-06-29 06:56:00
SYS,K17,ELFSER,   ,    5760,T,105630,1974-06-29 06:56:00
SYS,K17,FBPACK,   ,    6784,T,086425,1974-06-29 06:56:00
SYS,K17,IMPCLK,   ,    7168,T,106748,1974-06-18 14:43:00
SYS,K17,IMPDDB,   ,    1920,T,104737,1974-06-02 22:56:00
SYS,K17,IMPINT,   ,    3712,T,106750,1974-06-15 20:52:00
SYS,K17,IMPREG,   ,    9856,T,106745,1974-06-17 21:59:00
SYS,K17,IMPUUO,   ,   15616,T,106744,1974-06-18 15:23:00
SYS,K17,JOBDAT,   ,    1280,T,077561,1973-12-14 17:45:00
SYS,K17,LIBCNT,   ,    1152,T,000606,1972-03-24 17:21:00
SYS,K17,LINED ,   ,   12160,T,097004,1974-04-16 03:32:00
SYS,K17,LOWCOR,   ,    2048,T,115890,1974-08-16 17:34:00
SYS,K17,LPTSER,   ,    3712,T,114943,1974-08-12 19:56:00
SYS,K17,LUP   ,   ,     384,T,000614,1972-09-02 02:53:00
SYS,K17,MAIL  ,   ,     896,T,100399,1974-06-29 06:56:00
SYS,K17,MTCSER,   ,    6784,T,103851,1974-05-26 18:58:00
SYS,K17,ONCE  ,   ,    5248,T,111574,1974-07-16 18:45:00
SYS,K17,OUTER ,   ,   13056,T,114946,1974-08-14 19:25:00
SYS,K17,PARSER,   ,    3840,T,103846,1974-05-28 18:57:00
SYS,K17,PATCH ,   ,     384,T,101425,1974-05-13 14:41:00
SYS,K17,PTPSER,   ,    5248,T,083799,1974-01-28 11:56:00
SYS,K17,PTRSER,   ,    2304,T,083793,1974-06-29 06:55:00
SYS,K17,SCHEDU,   ,   19712,T,102509,1974-05-16 22:05:00
SYS,K17,SPWSER,   ,    2944,T,089943,1974-06-29 06:56:00
SYS,K17,SYS   ,   ,     128,T,114945,1974-08-12 19:38:00
SYS,K17,SYS   ,CMD,     128,T,109713,1974-07-06 00:11:00
SYS,K17,SYSINI,   ,    3200,T,100394,1974-05-07 23:24:00
SYS,K17,SYSMAK,   ,     512,T,076402,1973-12-07 18:06:00
SYS,K17,SYSTEM,DMP,   77764,X,115888,1974-08-16 17:39:00
SYS,K17,SYSTEM,REL,   87057,B,115891,1974-08-16 17:38:00
SYS,K17,TTYSER,   ,   35584,T,115887,1974-08-16 06:56:00
SYS,K17,TVSER ,   ,    1536,T,078467,1974-06-29 06:56:00
SYS,K17,UEDDT ,LOG,    1614,T,115886,1974-08-16 05:43:00
SYS,K17,UUOCON,   ,   40832,T,114947,1974-08-12 21:00:00
SYS,K17,VODSER,   ,     512,T,115889,1974-08-16 17:31:00
SYS,K17,XGPSER,   ,   20224,T,103845,1974-05-25 14:52:00
